# text = kullat mārī šunu mārāti šunu ana kaspī ipšurūni ina siqir Aššur bēli ya ana hubtān lū ahtabta dīkta šunu maʾatta x adūk šallas sunu būšī šunu makkūr šunu alpī šunu immer ṣēnī šunu ašlul ma ana āli ya Aššur ubla x Uluzu-x x ana abi ya x ana ramāni šunu uṣabbitūni x ina siqir ša Aššur bēli ya narkabāti ummānāte šunu adki x dīkta šunu maʾatta adūk x ālāni šunu appul aqqur ina išātāti ašrupu sītāt ummānāte šunu ša ištu pān kakkī ya ipparšidūni ištu x adi Halhalauš x arki šunu artedi dīkta šunu maʾatta adūk x šallas sunu būšī šunu ašlul ma sītāte šunu assuha ina x x Kundabhale šar Katmuhi x biltu maddattu ana x ṣīrāte ina x x ša Adad u x adki x x x
1	kullat	kullat	NOUN	NOUN	Noun_base=bound|Number=Sg|Gender=F	_	_	_	_
22	adūk	adūk	VERB	VERB	Person=1|Verb_stem=G|Mood=indicative|Tense=preterit|Number=Sg	_	_	_	_
23-24	šallassunu	_	_	_	_	_	_	_	_
23	šallas	šallas	NOUN	NOUN	Noun_base=suffixal|Number=Sg|Gender=F	34	dobj	_	_
24	sunu	sunu	PRON	PRON	Gender=M|Number=Pl|Person=3	23	det	_	_
25-26	būšīšunu	_	_	_	_	_	_	_	_
25	būšī	būšī	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=M	23	conj	_	_
26	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	25	det	_	_
27-28	makkūršunu	_	_	_	_	_	_	_	_
27	makkūr	makkūr	NOUN	NOUN	Noun_base=suffixal|Number=Sg|Gender=M	23	conj	_	_
28	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	27	det	_	_
29-30	alpīšunu	_	_	_	_	_	_	_	_
29	alpī	alpī	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=M	23	conj	_	_
30	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	29	det	_	_
31	immer	_	_	_	_	_	_	_	_
32-33	ṣēnīšunu	_	_	_	_	_	_	_	_
32	ṣēnī	ṣēnī	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=F	23	conj	_	_
33	šunu	šunu	PRON	PRON	Gender=F|Number=Pl|Person=3	32	det	_	_
34-35	ašlulma	_	_	_	_	_	_	_	_
34	ašlul	ašlul	VERB	VERB	Verb_stem=G|Person=1|Tense=preterit|Number=Sg|Mood=indicative	_	_	_	_
35	ma	ma	CONJ	CONJ	_	40	cc	_	_
36	ana	ana	ADP	ADP	_	37	case	_	_
37-38	āliya	_	_	_	_	_	_	_	_
37	āli	āli	NOUN	NOUN	Case=Gen|Noun_base=suffixal|Number=Sg|Gender=M	_	_	_	_
38	ya	ya	PRON	PRON	Person=1|Number=Sg	37	det	_	_
39	Aššur	Aššur	PROPN	PROPN	Gender=M	37	appos	_	_
40	ubla	ubla	VERB	VERB	Verb_stem=G|Person=1|Tense=preterit|Number=Sg|Mood=ventive	34	conj	_	_
41	x	x	_	_	_	_	_	_	_
42	Uluzu-x	Uluzu-x	PROPN	PROPN	_	_	_	_	_
43	x	x	_	_	_	_	_	_	_
44	ana	ana	ADP	ADP	_	45	case	_	_
45-46	abiya	_	_	_	_	_	_	_	_
45	abi	abi	NOUN	NOUN	Case=Gen|Noun_base=suffixal|Number=Sg|Gender=M	_	_	_	_
46	ya	ya	PRON	PRON	Person=1|Number=Sg	45	det	_	_
47	x	x	_	_	_	_	_	_	_
48	ana	ana	ADP	ADP	_	49	case	_	_
49-50	ramānišunu	_	_	_	_	_	_	_	_
49	ramāni	ramāni	NOUN	NOUN	Case=Gen|Noun_base=suffixal|Number=Sg|Gender=M	_	_	_	_
50	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	49	det	_	_
51	uṣabbitūni	uṣabbitūni	VERB	VERB	Verb_stem=D|Mood=subjunctive|Gender=M|Number=Pl|Person=3|Tense=preterit	_	_	_	_
52	x	x	_	_	_	_	_	_	_
53	ina	ina	ADP	ADP	_	54	case	_	_
54	siqir	siqir	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	62	obl	_	_
55	ša	ša	ADP	ADP	_	56	case	_	_
56	Aššur	Aššur	PROPN	PROPN	Gender=M	54	nmod	_	_
57-58	bēliya	_	_	_	_	_	_	_	_
57	bēli	bēli	NOUN	NOUN	Case=Gen|Noun_base=suffixal|Number=Sg|Gender=M	56	appos	_	_
58	ya	ya	PRON	PRON	Person=1|Number=Sg	57	det	_	_
59	narkabāti	narkabāti	NOUN	NOUN	Noun_base=free|Gender=F|Number=Pl	62	dobj	_	_
60-61	ummānātešunu	_	_	_	_	_	_	_	_
60	ummānāte	ummānāte	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=F	59	conj	_	_
61	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	60	det	_	_
62	adki	adki	VERB	VERB	Person=1|Verb_stem=G|Mood=indicative|Tense=preterit|Number=Sg	_	_	_	_
63	x	x	_	_	_	_	_	_	_
64-65	dīktašunu	_	_	_	_	_	_	_	_
64	dīkta	dīkta	NOUN	NOUN	Case=Acc|Noun_base=suffixal|Number=Sg|Gender=F	67	dobj	_	_
65	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	64	det	_	_
66	maʾatta	maʾatta	ADJ	ADJ	Gender=F|Case=Acc|Number=Sg	64	amod	_	_
67	adūk	adūk	VERB	VERB	Person=1|Verb_stem=G|Mood=indicative|Tense=preterit|Number=Sg	_	_	_	_
68	x	x	_	_	_	_	_	_	_
69-70	ālānišunu	_	_	_	_	_	_	_	_
69	ālāni	ālāni	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=M	71	dobj	_	_
70	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	69	det	_	_
71	appul	appul	VERB	VERB	Person=1|Verb_stem=G|Mood=indicative|Tense=preterit|Number=Sg	_	_	_	_
72	aqqur	aqqur	VERB	VERB	Person=1|Verb_stem=G|Mood=indicative|Tense=preterit|Number=Sg	71	conj	_	_
73	ina	ina	ADP	ADP	_	74	case	_	_
74	išātāti	išātāti	NOUN	NOUN	Noun_base=free|Gender=F|Number=Pl	75	obl	_	_
75	ašrupu	ašrupu	VERB	VERB	Verb_stem=G|Person=1|Tense=preterit|Number=Sg|Mood=indicative	71	conj	_	_
76	sītāt	sītāt	NOUN	NOUN	Noun_base=bound|Number=Pl|Gender=F	_	_	_	_
77-78	ummānātešunu	_	_	_	_	_	_	_	_
77	ummānāte	ummānāte	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=F	76	nmod_poss	_	_
78	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	77	det	_	_
79	ša	ša	PRON	PRON	_	84	nsubj	_	_
80	ištu	ištu	ADP	ADP	_	81	case	_	_
81	pān	pān	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	_	_	_	_
82-83	kakkīya	_	_	_	_	_	_	_	_
82	kakkī	kakkī	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=M	81	nmod_poss	_	_
83	ya	ya	PRON	PRON	Person=1|Number=Sg	82	det	_	_
84	ipparšidūni	ipparšidūni	VERB	VERB	Person=3|Verb_stem=G|Mood=subjunctive|Tense=preterit|Number=Pl	76	acl_relcl	_	_
85	ištu	ištu	ADP	ADP	_	86	case	_	_
86	x	x	PROPN	PROPN	_	_	_	_	_
87	adi	adi	ADP	ADP	_	88	case	_	_
88	Halhalauš	Halhalauš	PROPN	PROPN	_	_	_	_	_
89	x	x	_	_	_	_	_	_	_
90-91	arkišunu	_	_	_	_	_	_	_	_
90	arki	arki	ADP	ADP	_	_	_	_	_
91	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	90	det	_	_
92	artedi	artedi	VERB	VERB	Person=1|Verb_stem=G|Mood=indicative|Tense=perfect|Number=Sg	_	_	_	_
93-94	dīktašunu	_	_	_	_	_	_	_	_
93	dīkta	dīkta	NOUN	NOUN	Case=Acc|Noun_base=suffixal|Number=Sg|Gender=F	96	dobj	_	_
94	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	93	det	_	_
95	maʾatta	maʾatta	ADJ	ADJ	Gender=F|Case=Acc|Number=Sg	93	amod	_	_
96	adūk	adūk	VERB	VERB	Person=1|Verb_stem=G|Mood=indicative|Tense=preterit|Number=Sg	_	_	_	_
97	x	x	_	_	_	_	_	_	_
98-99	šallassunu	_	_	_	_	_	_	_	_
98	šallas	šallas	NOUN	NOUN	Noun_base=suffixal|Number=Sg|Gender=F	102	dobj	_	_
99	sunu	sunu	PRON	PRON	Gender=M|Number=Pl|Person=3	98	det	_	_
100-101	būšīšunu	_	_	_	_	_	_	_	_
100	būšī	būšī	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=M	98	conj	_	_
101	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	100	det	_	_
102-103	ašlulma	_	_	_	_	_	_	_	_
102	ašlul	ašlul	VERB	VERB	Verb_stem=G|Person=1|Tense=preterit|Number=Sg|Mood=indicative	_	_	_	_
103	ma	ma	CONJ	CONJ	_	106	cc	_	_
104-105	sitātešunu	_	_	_	_	_	_	_	_
104	sītāte	sītāte	NOUN	NOUN	Noun_base=suffixal|Number=Pl|Gender=F	106	dobj	_	_
105	šunu	šunu	PRON	PRON	Gender=M|Number=Pl|Person=3	104	det	_	_
106	assuha	assuha	VERB	VERB	Person=1|Verb_stem=G|Mood=ventive|Tense=preterit|Number=Sg	102	conj	_	_
107	ina	ina	ADP	ADP	_	108	case	_	_
108	x	x	NOUN	NOUN	Case=Gen	_	_	_	_
109	x	x	_	_	_	_	_	_	_
110	Kundabhale	Kundabhale	PROPN	PROPN	_	_	_	_	_
111	šar	šar	NOUN	NOUN	Noun_base=bound|Gender=M|Number=Sg	110	appos	_	_
112	Katmuhi	Katmuhi	PROPN	PROPN	Case=Gen	111	nmod_poss	_	_
113	x	x	_	_	_	_	_	_	_
114	biltu	biltu	NOUN	NOUN	Noun_base=free|Number=Sg|Gender=F	_	_	_	_
115	maddattu	maddattu	NOUN	NOUN	Noun_base=free|Gender=F|Case=Nom|Number=Sg	114	conj	_	_
116	ana	ana	ADP	ADP	_	_	_	_	_
117	x	x	_	_	_	_	_	_	_
118	ṣīrāte	ṣīrāte	ADJ	ADJ	Gender=F|Number=Pl	_	_	_	_
119	ina	ina	ADP	ADP	_	120	case	_	_
120	x	x	NOUN	NOUN	Case=Gen	_	_	_	_
121	x	x	_	_	_	_	_	_	_
122	ša	ša	ADP	ADP	_	123	case	_	_
123	Adad	Adad	PROPN	PROPN	Gender=M	_	_	_	_
124	u	u	CONJ	CONJ	_	125	cc	_	_
125	x	x	PROPN	PROPN	_	123	conj	_	_
126	adki	adki	VERB	VERB	Person=1|Verb_stem=G|Mood=indicative|Tense=preterit|Number=Sg	_	_	_	_
127	x	x	_	_	_	_	_	_	_
128	x	x	_	_	_	_	_	_	_
129	x	x	_	_	_	_	_	_	_

