# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004493-1
# text = Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššurma kāšid ultu ebertān Idiqlat adi Labnana u Tamti-rabiti mātāti kalîšina ištu ṣīt Šamši adi ereb Šamši ana šēpīšu ušekniša
1	Aššur-naṣir-apli	_	PROPN	RN	Case=Undefined|Gender=M	54	nsubj	54:nsubj	{m}aš-šur-PAP-A
16	dannu	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	15	amod	15:amod	dan-nu
17	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	12:appos	MAN
18	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	17	nmod:poss	17:nmod:poss	ŠU₂
19	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	12:appos	MAN
20	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	19	nmod:poss	19:nmod:poss	KUR
21	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	20	nmod:poss	20:nmod:poss	AŠ
22	mār	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	12:appos	A
23	Adad-nerari	_	PROPN	RN	Case=Undefined|Gender=M	22	nmod:poss	22:nmod:poss	10-ERIM.TAH₂
24	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	23	appos	23:appos	MAN
25	rabû	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	24	amod	24:amod	GAL
26	šarru	_	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	23	appos	23:appos	MAN
27	dannu	_	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	26	amod	26:amod	dan-nu
28	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	23	appos	23:appos	MAN
29	kiššati	_	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	28	nmod:poss	28:nmod:poss	ŠU₂
30	šar	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	23	appos	23:appos	MAN
31	māt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	30	nmod:poss	30:nmod:poss	KUR
32-33	Aššurma	_	_	_	_	_	_	_	_
32	Aššur	_	PROPN	GN	Case=Undefined|Gender=M	31	nmod:poss	31:nmod:poss	aš-šur-ma
33	ma	_	PART	_	_	32	det	32:det	_
34	kāšid	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	ka-šid
35	ultu	_	ADP	PRP	_	36	case	36:case	TA
36	ebertān	_	NOUN	AV	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	34	obl	34:obl	e-ber-ta-an
37	Idiqlat	_	PROPN	WN	Case=Undefined|Gender=F	36	nmod:poss	36:nmod:poss	{ID₂}HAL.HAL
38	adi	_	ADP	PRP	_	39	case	39:case	a-di
39	Labnana	_	PROPN	GN	Case=Undefined|Gender=Undefined	34	obl	34:obl	{KUR}lab-na-na
40	u	_	CCONJ	CNJ	_	41	cc	41:cc	u
41	Tamti-rabiti	_	PROPN	WN	Case=Undefined|Gender=F	39	conj	39:conj	A.AB.BA-GAL-ti
42	mātāti	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	54	obj	54:obj	KUR.KUR.MEŠ
43-44	kalîšina	_	_	_	_	_	_	_	_
43	kalî	_	DET	N	_	42	amod	42:amod	DU₃-ši-na
44	šina	_	PRON	_	Gender=F|Number=Pl|Person=3	43	det	43:det	_
45	ištu	_	ADP	PRP	_	46	case	46:case	iš-tu
46	ṣīt	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	54	obl	54:obl	_
47	Šamši	_	PROPN	DN	Case=Gen|Gender=M	46	nmod:poss	46:nmod:poss	{d}šam-ši
48	adi	_	ADP	PRP	_	50	case	50:case	a-di
49	ereb	_	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	54	obl	54:obl	e-reb
50	Šamši	_	PROPN	RN	Case=Gen|Gender=M	49	nmod:poss	49:nmod:poss	_
51	ana	_	ADP	PRP	_	52	case	52:case	a-na
52-53	šēpīšu	_	_	_	_	_	_	_	_
52	šēpī	_	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	54	obl	54:obl	GIR₃.II-šu₂
53	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	52	det	52:det	_
54	ušekniša	_	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Tense=Preterit|Ventive=Yes|Verbstem=S	0	root	0:root	u₂-šek₂-ni-ša₂

