# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006013-1
# text = Aššur-dan šarru dannu šar kiššati šar māt Aššur nibīt Aššur ša x ultu ulla Aššur šumšu ibbû ša x u agâ ṣīru ušatmehu ša x ana šarrūt x māt Aššur rabîš ukīnušu mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur mār Aššur-reša-iši šar kiššati šar māt Aššurma
1	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-KAL-an
33	ukīnu	kânu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=D	18	conj	_	u₂-kin₂-nu-šu
34	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	33	obj	_	_
35	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	DUMU
36	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra_II	PROPN	RN	Case=Undefined|Gender=M	35	nmod:poss	_	{GIŠ}tukul-ti-A-e₂-šar₂-ra
37	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	36	appos	_	LUGAL
38	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	37	nmod:poss	_	KIŠ
39	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	36	appos	_	LUGAL
40	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	39	nmod:poss	_	KUR
41	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	40	nmod:poss	_	aš-šur
42	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	36	appos	_	DUMU
43	Aššur-reša-iši	Aššur-reša-iši_II	PROPN	RN	Case=Undefined|Gender=M	42	nmod:poss	_	aš-šur-SAG-i-ši
44	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	43	appos	_	MAN
45	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	44	nmod:poss	_	KIŠ
46	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	43	appos	_	MAN
47	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	46	nmod:poss	_	KUR
48-49	Aššurma	_	_	_	_	_	_	_	_
48	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	47	nmod:poss	_	aš-šur-ma
49	ma	_	PART	_	_	48	det	_	_

# sent_id = Q006013-2
# text = ina šurrat šarrūtiya ina mahrê palêya ša ina kussî šarrūte rabîš ūšibu x ṣābē Iausaya ēliʾū x ana emūq ramānišunu ittatkilū x-šunu ūbilū ina tukulti Aššur bēliya x narkabāti ummānīya adki ištu Ekal-pi-nari x maškanātešunu ahbut x dīktašunu maʾatta adūk sitātešunu uqatta x alpīšunu ṣēnīšunu ana lā māni ašlul x ālānišunu mārīšunu ina išātāti ašrup šallassunu kabitta ištu libbi Arimi ušēli x
1	ina	ina	ADP	PRP	_	2	case	_	i-na
2	šurrat	šurrû	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Pl	18	obl	_	šur-rat
3-4	šarrūtiya	_	_	_	_	_	_	_	_
3	šarrūti	šarrūtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	2	nmod:poss	_	MAN-ti-ia
4	ya	_	PRON	_	Number=Sg|Person=1	3	det	_	_
5	ina	ina	ADP	PRP	_	6	case	_	i-na
6	mahrê	mahrû	ADJ	AJ	Case=Gen|Gender=M|Number=Sg	18	obl	_	mah-re-e
7-8	palêya	_	_	_	_	_	_	_	_
7	palê	palû	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	6	case	_	BALA.MEŠ-ia
8	ya	_	PRON	_	Number=Sg|Person=1	7	det	_	_
9	ša	ša	SCONJ	REL	_	14	mark	_	ša
10	ina	ina	ADP	PRP	_	11	case	_	i-na
11	kussî	kussû	NOUN	N	Case=Gen|Gender=F|Nounbase=Bound|Number=Sg	14	obl	_	GIŠ.GU.ZA
12	šarrūte	šarrūtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	11	nmod:poss	_	MAN-te
13	rabîš	rabîš	ADV	AV	_	14	advmod	_	ra-bi-iš
14	ūšibu	wašābu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Subordinative=Yes|Tense=Preterit|Verbstem=G	18	advcl	_	u₂-ši-bu
15	x	_	X	u	_	_	_	_	x
16	ṣābē	ṣābu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	18	nsubj	_	_
17	Iausaya	Iausayu	PROPN	EN	Case=Undefined|Gender=M	16	nmod:poss	_	{KUR}ia-u₂-sa-a-ia
18	ēliʾū	elû	VERB	V	Finiteness=Finite|Gender=Undefined|Mood=Indicative|Number=Pl|Person=3|Tense=Preterit|Verbstem=G	0	root	0:root	_
19	x	_	X	u	_	_	_	_	x
20	ana	ana	ADP	PRP	_	21	case	_	a-na
21	emūq	emūqu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	24	obl	_	e-mu-uq
22-23	ramānišunu	_	_	_	_	_	_	_	_
22	ramāni	ramānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	21	nmod:poss	_	ra-ma-ni-šu-nu
23	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	22	det	_	_
24	ittatkilū	_	VERB	_	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Tense=Preterit|Verbstem=Ntn	0	root	0:root	_
25-26	x-šunu	_	_	_	_	_	_	_	_
25	x	_	NOUN	_	_	27	obj	_	_
26	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	25	det	_	_
27	ūbilū	wabālu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Tense=Preterit|Verbstem=G	24	conj	_	u₂-bi-ul
28	ina	ina	ADP	PRP	_	29	case	_	i-na
29	tukulti	tukultu	NOUN	N	Case=Gen|Gender=F|Nounbase=Bound|Number=Sg	37	obl	_	{GIŠ}tukul-ti
30	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	29	nmod:poss	_	aš-šur
31-32	bēliya	_	_	_	_	_	_	_	_
31	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	30	appos	_	EN-ia
32	ya	_	PRON	_	Number=Sg|Person=1	31	det	_	_
33	x	_	X	u	_	_	_	_	x
34	narkabāti	narkabtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	37	obj	_	GIŠ.GIGIR.MEŠ
35-36	ummānīya	_	_	_	_	_	_	_	_
35	ummānāti	ummānu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	34	conj	_	ERIM.HI.A.MEŠ-ia
36	ya	_	PRON	_	Number=Sg|Person=1	35	det	_	_
37	adki	dekû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	_
38	ištu	ištu	ADP	PRP	_	39	case	_	iš-tu
39	Ekal-pi-nari	Ekal-pi-nari	PROPN	SN	Case=Undefined|Gender=Undefined	43	obl	_	URU.E₂.GAL-pi-i-ID₂
40	x	_	X	u	_	_	_	_	x
41-42	maškanātešunu	_	_	_	_	_	_	_	_
41	maškanāte	maškanu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	43	obj	_	maš-kan-na-te.MEŠ-šu-nu
42	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	41	det	_	_
43	ahbut	habātu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ah-bu-ut
44	x	_	X	u	_	_	_	_	x
45-46	dīktašunu	_	_	_	_	_	_	_	_
45	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	48	obj	_	di-ik-ta-šu-nu
46	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	45	det	_	_
47	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	45	amod	_	ma-ʾa-at-ta
48	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	43	conj	_	a-duk
49-50	sitātešunu	_	_	_	_	_	_	_	_
49	sītāte	šittu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	51	obj	_	si-ta-te-šu-nu
50	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	49	det	_	_
51	uqatta	qatû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Present|Verbstem=D	0	root	0:root	u₂-qa-at-ta
52	x	_	X	u	_	_	_	_	x
53-54	alpīšunu	_	_	_	_	_	_	_	_
53	alpī	alpu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	59	obj	_	GU₄.MEŠ-šu-nu
54	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	53	det	_	_
55-56	ṣēnīšunu	_	_	_	_	_	_	_	_
55	ṣēnī	ṣēnu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	53	conj	_	ṣe-ni.MEŠ-šu-nu
56	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	55	det	_	_
57	ana	ana	ADP	PRP	_	58	case	_	a-na
58	lā māni	lā|mānu	ADJ	MOD|N	Case=Gen|Gender=M|Number=Sg	59	obl	_	la-a|ma-ni
59	ašlul	šalālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	aš₂-lul
60	x	_	X	u	_	_	_	_	x
61-62	ālānišunu	_	_	_	_	_	_	_	_
61	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	67	obj	_	URU.MEŠ-šu-nu
62	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	61	det	_	_
63-64	mārīšunu	_	_	_	_	_	_	_	_
63	mārī	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	61	conj	_	DUMU.MEŠ-šu-nu
64	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	63	det	_	_
65	ina	ina	ADP	PRP	_	66	case	_	i-na
66	išātāti	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	67	obl	_	_
67	ašrup	šarāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	aš₂-ru-up
68-69	šallassunu	_	_	_	_	_	_	_	_
68	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	74	obj	_	šal-la-su-nu
69	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	68	det	_	_
70	kabitta	kabtu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	68	amod	_	ka-bit-ta
71	ištu	ištu	ADP	PRP	_	72	case	_	iš-tu
72	libbi	libbu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	74	obl	_	ŠA₃
73	Arimi	Aramu	PROPN	EN	Case=Gen|Gender=Undefined	72	nmod:poss	_	{KUR}a-ri-mi
74	ušēli	elû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=S	0	root	0:root	u₂-še-li
75	x	_	X	u	_	_	_	_	x

# sent_id = Q006013-3
# text = x ša ištu tarṣi Šalmanu-ašared šar māt Aššur abiya nišē māt Aššur x x u du’āki igmurūni kullat mārīšunu mārātišunu ana kaspī ipšurūni ina siqir Aššur bēliya ana hubtāni lū ahtabta dīktašunu maʾatta lū adūk šallassunu būšīšunu makkūršunu alpīšunu ṣēnīšunu ašlula ana āliya Aššur ubla x-li Ruqahu Zaba ša {KUR}x-x x Iahanu Arumu ša kutal Pi-x x ša ištu tarṣi Aššur-rabi šar māt Aššur abiya ālāni ša šiddi mātiya x ana ramānišunu uṣabbitūni narkabāti ummānāti adki x x dīktašunu maʾatta adūk ālānišunu appul aqqur ina išātāti ašrupu sītāt ummānātešunu ša ištu pān kakkīya ipparšidūni ištu x adi Halhalauš ša Sa-x-zi arkišunu artedi dīktašunu maʾatta adūk šallassunu makkūršunu ašlul sitātešunu assuha ina x x x ana miṣir māt Aššur amnûšunūti
1	x	_	PROPN	u	_	0	root	0:root	x
2	ša	ša	PRON	REL	_	18	nsubj	_	ša
3	ištu	ištu	ADP	PRP	_	4	case	_	iš-tu
4	tarṣi	tarṣu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	18	obl	_	tar-ṣi
5	Šalmanu-ašared	_	PROPN	_	Case=Undefined|Gender=M	4	nmod:poss	_	_
6	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	5	appos	_	MAN
7	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	6	nmod:poss	_	KUR
8	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	7	nmod:poss	_	aš-šur
9-10	abiya	_	_	_	_	_	_	_	_
9	abi	abu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	5	appos	_	AD-ia
10	ya	_	PRON	_	Number=Sg|Person=1	9	det	_	_
11	nišē	nišu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Undefined|Number=Pl	18	obj	_	ni-še
12	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	11	nmod:poss	_	KUR
13	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	12	nmod:poss	_	aš-šur
14	x	_	ADP	u	_	15	case	_	x
15	x	_	NOUN	u	_	18	obl	_	x
16	u	u	CCONJ	CNJ	_	17	cc	_	u₃
17	du’āki	_	VERB	_	Case=Gen|Finiteness=Infinitive|Gender=M|Nounbase=Free|Number=Sg|Verbstem=G	15	conj	_	_
18	igmurūni	gamāru	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	1	acl:relcl	_	ig-mu-ru-u₂-ni
19	kullat	kullatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	kul-lat
20-21	mārīšunu	_	_	_	_	_	_	_	_
20	mārī	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	19	nmod:poss	_	DUMU.MEŠ-šu-nu
21	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	20	det	_	_
22-23	mārātišunu	_	_	_	_	_	_	_	_
22	mārāti	mārtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	20	conj	_	DUMU.MUNUS.MEŠ-šu-nu
23	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	22	det	_	_
24	ana	ana	ADP	PRP	_	25	case	_	a-na
25	kaspī	kaspu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	26	obl	_	KU₃.BABBAR.MEŠ
26	ipšurūni	_	VERB	_	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	35	advcl	_	_
27	ina	ina	ADP	PRP	_	28	case	_	i-na
28	siqir	zikru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	35	obl	_	si-qir
29	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	28	nmod:poss	_	aš-šur
30-31	bēliya	_	_	_	_	_	_	_	_
30	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	29	appos	_	EN-ia
31	ya	_	PRON	_	Number=Sg|Person=1	30	det	_	_
32	ana	ana	ADP	PRP	_	33	case	_	a-na
33	hubtāni	hubtu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	35	obl	_	hu-ub-ta-ni
34	lū	lū	PART	MOD	_	35	advmod:emph	_	lu
35	ahtabta	habātu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Perfect|Ventive=Yes|Verbstem=G	0	root	0:root	ah-tab-ta
36-37	dīktašunu	_	_	_	_	_	_	_	_
36	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	40	obj	_	di-ik-ta-šu₂-nu
37	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	36	det	_	_
38	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	36	amod	_	ma-ʾa-ta
39	lū	lū	PART	MOD	_	40	advmod:emph	_	lu
40	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk
41-42	šallassunu	_	_	_	_	_	_	_	_
41	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	51	obj	_	šal-la-su-nu
42	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	41	det	_	_
43-44	būšīšunu	_	_	_	_	_	_	_	_
43	būšī	būšu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	41	conj	_	NIG₂.ŠU.MEŠ-šu-nu
44	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	43	det	_	_
45-46	makkūršunu	_	_	_	_	_	_	_	_
45	makkūr	makkūru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	41	conj	_	NIG₂.GA-šu₂-nu
46	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	45	det	_	_
47-48	alpīšunu	_	_	_	_	_	_	_	_
47	alpī	alpu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	41	conj	_	GU₄.MEŠ-šu₂-nu
48	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	47	det	_	_
49-50	ṣēnīšunu	_	_	_	_	_	_	_	_
49	ṣēnī	ṣēnu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	41	conj	_	ṣe-ni.MEŠ-šu-nu
50	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	49	det	_	_
51	ašlula	šalālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	40	conj	_	aš₂-lu-la
52	ana	ana	ADP	PRP	_	53	case	_	a-na
53-54	āliya	_	_	_	_	_	_	_	_
53	āli	ālu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	56	obl	_	URU-ia
54	ya	_	PRON	_	Number=Sg|Person=1	53	det	_	_
55	Aššur	Aššur	PROPN	SN	Case=Undefined|Gender=M	53	appos	_	aš-šur
56	ubla	wabālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	40	conj	_	ub-la
57	x-li	_	X	u	_	_	_	_	x-li
58	Ruqahu	Ruqahu	PROPN	GN	Case=Undefined|Gender=Undefined	0	root	0:root	{KUR}ru-qa-hu
59	Zaba	Zab	PROPN	WN	Case=Undefined|Gender=Undefined	58	conj	_	{ID₂}za-ba
60	ša	ša	ADP	DET	_	61	case	_	ša
61	{KUR}x-x	_	PROPN	u	_	59	nmod	_	{KUR}x-x
62	x	_	X	u	_	_	_	_	x
63	Iahanu	Iahanu	PROPN	GN	Case=Nom|Gender=Undefined	0	root	0:root	{KUR}ia-ha-a-nu
64	Arumu	Aramu	PROPN	EN	Case=Nom|Gender=M	63	conj	_	{KUR}a-ru-mu
65	ša	ša	ADP	REL	_	66	case	_	ša
66	kutal	kutallu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	64	nmod	_	ku-tal
67	Pi-x	Pi-x	PROPN	GN	_	66	nmod:poss	_	{KUR}pi-x-x
68	x	_	X	u	_	_	_	_	x
69	ša	ša	PRON	REL	_	_	_	_	ša
70	ištu	ištu	ADP	PRP	_	71	case	_	iš-tu
71	tarṣi	tarṣu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	0	root	0:root	tar-ṣi
72	Aššur-rabi	Aššur-rabi_II	PROPN	RN	Case=Undefined|Gender=M	71	nmod:poss	_	{m}aš-šur-GAL-bi
73	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	72	appos	_	MAN
74	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	73	nmod:poss	_	KUR
75	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	74	nmod:poss	_	aš-šur
76-77	abiya	_	_	_	_	_	_	_	_
76	abi	abu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	72	appos	_	AD-ia
77	ya	_	PRON	_	Number=Sg|Person=1	76	det	_	_
78	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	87	obj	_	URU.MEŠ-ni
79	ša	ša	ADP	DET	_	80	case	_	ša
80	šiddi	šiddu	NOUN	N	Case=Gen|Gender=M|Nounbase=Bound|Number=Sg	78	nmod	_	_
81-82	mātiya	_	_	_	_	_	_	_	_
81	māti	mātu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	80	nmod:poss	_	KUR-ia
82	ya	_	PRON	_	Number=Sg|Person=1	81	det	_	_
83	x	_	X	u	_	_	_	_	x
84	ana	ana	ADP	PRP	_	85	case	_	a-na
85-86	ramānišunu	_	_	_	_	_	_	_	_
85	ramāni	ramānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	87	obl	_	ra-ma-ni-šu-nu
86	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	85	det	_	_
87	uṣabbitūni	ṣabātu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=D	0	root	0:root	u₂-ṣab-bi-tu-u₂-ni
88	narkabāti	narkabtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	90	obj	_	{GIŠ}GIGIR.MEŠ
89	ummānāti	ummānu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	88	conj	_	ERIM.MEŠ
90	adki	dekû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	_
91	x	_	X	u	_	_	_	_	x
92	x	_	X	u	_	_	_	_	x
93-94	dīktašunu	_	_	_	_	_	_	_	_
93	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	96	obj	_	di-ik-ta-šu-nu
94	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	93	det	_	_
95	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	93	amod	_	ma-ʾa-at-ta
96	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk
97-98	ālānišunu	_	_	_	_	_	_	_	_
97	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	99	obj	_	URU.MEŠ-šu-nu
98	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	97	det	_	_
