# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q004493-1
# text = Aššur-naṣir-apli šarru rabû šarru dannu šar kiššati šar māt Aššur mār Tukulti-Ninurta šarru rabû šarru dannu šar kiššati šar māt Aššur mār Adad-nerari šarru rabû šarru dannu šar kiššati šar māt Aššurma kāšid ultu ebertān Idiqlat adi Labnana u Tamti-rabiti mātāti kalîšina ištu ṣīt Šamši adi ereb Šamši ana šēpīšu ušekniša
1	Aššur-naṣir-apli	Aššur-naṣir-apli_II	PROPN	RN	Gender=Masc	54	nsubj	54:nsubj	{m}aš-šur-PAP-A
18	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	17	nmod:poss	17:nmod:poss	ŠU₂
19	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	12	appos	12:appos	MAN
20	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	19	nmod:poss	19:nmod:poss	KUR
21	Aššur	Aššur	PROPN	GN	Gender=Masc	20	nmod:poss	20:nmod:poss	AŠ
22	mār	māru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	12	appos	12:appos	A
23	Adad-nerari	Adad-narari_II	PROPN	RN	Gender=Masc	22	nmod:poss	22:nmod:poss	10-ERIM.TAH₂
24	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|Nounbase=Free|Number=Sing	23	appos	23:appos	MAN
25	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	24	amod	24:amod	GAL
26	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|Nounbase=Free|Number=Sing	23	appos	23:appos	MAN
27	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	26	amod	26:amod	dan-nu
28	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	23	appos	23:appos	MAN
29	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|Nounbase=Free|Number=Sing	28	nmod:poss	28:nmod:poss	ŠU₂
30	šar	šarru	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	23	appos	23:appos	MAN
31	māt	mātu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	30	nmod:poss	30:nmod:poss	KUR
32-33	Aššurma	_	_	_	_	_	_	_	_
32	Aššur	Aššur	PROPN	GN	Gender=Masc	31	nmod:poss	31:nmod:poss	aš-šur-ma
33	ma	_	PART	_	_	32	dep	32:dep	_
34	kāšid	kāšidu	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	1	appos	1:appos	ka-šid
35	ultu	ištu	ADP	PRP	_	36	case	36:case	TA
36	ebertān	ebertān	NOUN	AV	Gender=Fem|Nounbase=Bound|Number=Sing	34	obl	34:obl	e-ber-ta-an
37	Idiqlat	Idiqlat	PROPN	WN	Gender=Fem	36	nmod:poss	36:nmod:poss	{ID₂}HAL.HAL
38	adi	adi	ADP	PRP	_	39	case	39:case	a-di
39	Labnana	Labnana	PROPN	GN	_	34	obl	34:obl	{KUR}lab-na-na
40	u	u	CCONJ	CNJ	_	41	cc	41:cc	u
41	Tamti-rabiti	Tamtu-rabitu	PROPN	WN	Gender=Fem	39	conj	39:conj	A.AB.BA-GAL-ti
42	mātāti	mātu	NOUN	N	Gender=Fem|Nounbase=Free|Number=Plur	54	obj	54:obj	KUR.KUR.MEŠ
43-44	kalîšina	_	_	_	_	_	_	_	_
43	kalî	kalû	DET	N	_	42	amod	42:amod	DU₃-ši-na
44	šina	_	PRON	_	Gender=Fem|Number=Plur|Person=3	43	det:poss	43:det:poss	_
45	ištu	ištu	ADP	PRP	_	46	case	46:case	iš-tu
46	ṣīt	ṣītu	NOUN	N	Gender=Fem|Nounbase=Bound|Number=Sing	54	obl	54:obl	_
47	Šamši	Šamaš	PROPN	DN	Case=Gen|Gender=Masc	46	nmod:poss	46:nmod:poss	{d}šam-ši
48	adi	adi	ADP	PRP	_	50	case	50:case	a-di
49	ereb	erbu	NOUN	N	Gender=Masc|Nounbase=Bound|Number=Sing	54	obl	54:obl	e-reb
50	Šamši	Šamši-Adad_I	PROPN	RN	Case=Gen|Gender=Masc	49	nmod:poss	49:nmod:poss	_
51	ana	ana	ADP	PRP	_	52	case	52:case	a-na
52-53	šēpīšu	_	_	_	_	_	_	_	_
52	šēpī	šēpu	NOUN	N	Gender=Fem|Nounbase=Suffixal|Number=Plur	54	obl	54:obl	GIR₃.II-šu₂
53	šu	_	PRON	_	Gender=Masc|Number=Sing|Person=3	52	det:poss	52:det:poss	_
54	ušekniša	kanāšu	VERB	V	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Past|Ventive=Yes|VerbForm=Fin|Verbstem=S	0	root	0:root	u₂-šek₂-ni-ša₂

